Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Toe - X acl	Toe - Y acl	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Ankle - X acl	Ankle - Y acl	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Knee - X acl	Knee - Y acl	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	Hip - X acl	Hip - Y acl	Sholder - X pos	Sholder - Y pos	Sholder - X vel	Sholder - Y vel	Sholder - X acl	Sholder - Y acl	Elbow - X pos	Elbow - Y pos	Elbow - X vel	Elbow - Y vel	Elbow - X acl	Elbow - Y acl	Wrist - X pos	Wrist - Y pos	Wrist - X vel	Wrist - Y vel	Wrist - X acl	Wrist - Y acl	Finger - X pos	Finger - Y pos	Finger - X vel	Finger - Y vel	Finger - X acl	Finger - Y acl	Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Toe - X acl	Toe - Y acl	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Ankle - X acl	Ankle - Y acl	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Knee - X acl	Knee - Y acl	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	Hip - X acl	Hip - Y acl	Sholder - X pos	Sholder - Y pos	Sholder - X vel	Sholder - Y vel	Sholder - X acl	Sholder - Y acl	Elbow - X pos	Elbow - Y pos	Elbow - X vel	Elbow - Y vel	Elbow - X acl	Elbow - Y acl	Wrist - X pos	Wrist - Y pos	Wrist - X vel	Wrist - Y vel	Wrist - X acl	Wrist - Y acl	Finger - X pos	Finger - Y pos	Finger - X vel	Finger - Y vel	Finger - X acl	Finger - Y acl	Chin - X pos	Chin - Y pos	Chin - X vel	Chin - Y vel	Chin - X acl	Chin - Y acl	Forhead - X pos	Forhead - Y pos	Forhead - X vel	Forhead - Y vel	Forhead - X acl	Forhead - Y acl	CG - X pos	CG - Y pos	CG - X vel	CG - Y vel	CG - X acl	CG - Y acl	
1.667	0.285	5.378	-1.814	-147.358	106.223	1.505	0.192	4.292	1.352	-100.219	-492.578	1.229	0.603	4.219	-0.284	-14.646	-18.581	0.892	0.869	4.339	0.133	46.303	-68.277	0.699	1.345	3.843	-0.136	180.590	39.805	0.467	1.225	5.329	-0.512	29.727	-79.224	0.509	1.015	3.509	-1.950	496.923	16.683	0.532	0.996	1.469	-6.621	1050.080	802.857	-0.029	0.197	2.880	4.950	242.976	-116.329	0.098	0.392	5.759	3.350	79.332	-68.946	0.536	0.481	5.328	0.375	297.983	-106.421	0.786	0.879	4.325	-0.891	68.166	37.228	0.812	1.457	4.105	0.265	141.523	-47.805	1.014	1.265	4.051	1.506	177.696	-349.214	1.027	1.394	5.777	-2.139	-60.645	-58.534	1.012	1.469	5.266	-3.701	22.477	-38.297	0.894	1.438	6.670	-0.332	-538.812	25.021	0.910	1.577	4.314	0.874	6.958	-31.753	0.819	0.974	4.762	0.049	20.120	-36.824	
1.759	0.246	8.486	-4.055	-151.365	-28.492	1.581	0.187	7.062	-2.079	-101.440	-318.845	1.312	0.595	8.231	-1.002	-13.843	-28.891	0.984	0.869	9.419	-0.150	49.368	-27.785	0.787	1.344	9.285	0.057	106.623	21.889	0.575	1.207	10.894	-2.216	15.764	-79.486	0.610	0.978	11.760	-3.472	316.095	28.529	0.620	0.913	11.657	-5.827	581.241	494.270	0.051	0.286	9.212	8.318	230.157	-105.411	0.221	0.452	12.692	5.667	78.298	-68.853	0.658	0.478	13.000	-0.765	156.296	-101.034	0.878	0.864	9.512	-1.261	57.533	34.695	0.901	1.458	9.271	-0.120	70.675	-43.311	1.095	1.276	8.042	0.070	-4.082	-196.170	1.136	1.346	10.641	-5.044	-60.934	-51.136	1.119	1.392	10.734	-7.799	13.422	-26.376	1.002	1.434	9.601	-0.278	-249.231	25.784	0.997	1.592	8.708	1.297	5.376	-30.075	0.915	0.972	9.770	-0.393	16.381	-32.732	
1.836	0.204	6.953	-5.014	-155.371	-163.208	1.647	0.150	6.041	-4.399	-102.661	-145.113	1.393	0.583	8.096	-1.342	-13.039	-39.201	1.081	0.866	9.928	-0.226	52.432	12.707	0.885	1.346	9.982	0.186	32.655	3.973	0.685	1.181	10.982	-3.012	1.801	-79.749	0.744	0.945	14.017	-3.128	135.266	40.376	0.765	0.880	15.125	-2.428	112.402	185.684	0.155	0.364	11.450	7.318	217.338	-94.493	0.352	0.505	13.469	4.979	77.264	-68.761	0.796	0.466	13.854	-1.749	14.610	-95.647	0.976	0.854	10.035	-0.927	46.901	32.163	0.997	1.454	9.623	-0.531	-0.173	-38.817	1.175	1.267	7.092	-1.127	-185.859	-43.125	1.240	1.293	10.030	-5.519	-61.222	-43.738	1.227	1.313	10.823	-8.003	4.367	-14.455	1.086	1.433	8.557	-0.016	40.350	26.547	1.084	1.603	8.754	1.005	3.794	-28.398	1.014	0.966	9.916	-0.700	12.642	-28.641	
1.898	0.145	5.368	-6.311	-161.499	-96.157	1.702	0.099	5.087	-4.683	-88.273	88.215	1.474	0.568	7.968	-1.755	-12.587	-43.304	1.183	0.864	10.409	0.048	43.789	42.011	0.986	1.348	9.768	-0.982	-75.388	-237.668	0.795	1.147	10.972	-3.745	-3.719	-66.897	0.891	0.916	14.273	-2.616	-83.901	61.965	0.922	0.865	15.607	-1.114	-15.975	77.066	0.280	0.432	13.526	6.444	197.857	-80.451	0.490	0.552	14.251	4.295	79.005	-68.174	0.935	0.443	13.498	-2.081	-85.772	29.253	1.079	0.846	10.374	-0.623	20.940	28.587	1.094	1.447	9.709	-0.853	17.379	-25.623	1.237	1.253	5.544	-1.355	-123.817	-2.613	1.337	1.236	9.416	-5.862	-61.707	-24.980	1.335	1.232	10.752	-8.006	-18.483	13.822	1.173	1.434	9.438	0.260	135.757	28.658	1.172	1.612	8.774	0.741	0.266	-24.439	1.114	0.958	10.000	-0.904	4.348	-12.277	
1.944	0.078	3.749	-6.117	-162.307	134.954	1.748	0.057	4.261	-3.008	-76.950	246.895	1.553	0.548	7.826	-2.014	-15.912	-8.585	1.289	0.867	10.680	0.109	10.413	-29.851	1.080	1.326	8.789	-3.313	-120.409	-228.572	0.904	1.106	11.076	-4.233	24.490	-30.690	1.029	0.893	13.069	-1.862	-157.043	88.795	1.077	0.857	14.739	0.138	-157.713	173.222	0.426	0.493	15.133	5.652	123.661	-77.817	0.637	0.591	15.026	3.620	76.099	-66.664	1.066	0.424	12.807	-1.206	-52.512	145.727	1.184	0.841	10.378	-0.347	-20.097	26.557	1.192	1.437	10.057	-0.988	52.118	-1.231	1.286	1.240	5.845	-1.474	184.150	-21.087	1.428	1.176	8.796	-5.950	-62.203	7.370	1.442	1.153	10.392	-7.655	-53.638	56.403	1.274	1.438	9.791	0.555	-65.064	30.344	1.260	1.618	8.749	0.530	-5.289	-17.722	1.214	0.948	9.979	-0.876	-8.581	17.895	
1.973	0.023	2.197	-3.866	-148.120	315.144	1.787	0.039	3.268	-0.682	-121.613	218.163	1.630	0.527	7.617	-1.679	-25.882	75.714	1.396	0.867	10.459	-0.462	-54.663	-84.338	1.162	1.281	8.638	-1.725	90.237	546.346	1.016	1.062	11.632	-4.230	86.682	31.393	1.152	0.879	12.305	-0.841	4.215	115.381	1.217	0.867	12.363	0.641	-317.456	-72.612	0.583	0.545	15.873	4.800	24.171	-92.562	0.791	0.624	15.688	2.967	56.199	-63.937	1.191	0.419	13.086	0.144	108.359	124.196	1.286	0.839	9.964	-0.083	-62.703	26.312	1.295	1.427	9.861	-0.826	-91.325	33.631	1.354	1.224	7.077	-1.478	62.208	20.170	1.513	1.117	8.174	-5.660	-62.288	50.652	1.543	1.079	9.678	-6.873	-89.120	99.978	1.369	1.445	8.718	0.847	-149.575	28.088	1.347	1.622	8.670	0.400	-10.544	-8.376	1.313	0.940	9.817	-0.531	-23.814	51.184	
1.988	0.000	0.883	-1.074	-114.797	243.245	1.814	0.043	1.888	0.691	-154.264	56.463	1.705	0.514	7.281	-0.554	-41.269	149.180	1.498	0.858	9.545	-0.964	-128.239	-15.986	1.253	1.292	9.582	3.215	98.457	441.644	1.137	1.021	12.756	-3.550	138.077	104.607	1.275	0.876	13.620	0.432	258.780	139.224	1.325	0.870	11.753	-0.420	195.422	-139.475	0.743	0.589	15.948	3.779	-9.057	-111.772	0.950	0.651	16.056	2.349	17.388	-59.785	1.328	0.427	14.571	0.988	188.524	44.567	1.383	0.839	9.237	0.198	-82.700	29.883	1.389	1.421	8.870	-0.345	-106.781	62.401	1.427	1.210	6.769	-1.289	-123.750	17.722	1.592	1.063	7.557	-4.915	-61.102	98.403	1.636	1.015	8.697	-5.703	-107.062	134.075	1.449	1.455	7.775	1.091	-39.016	20.684	1.433	1.626	8.553	0.370	-12.875	2.562	1.410	0.938	9.519	0.067	-35.864	68.301	
1.991	0.002	-0.041	0.076	-69.976	-13.113	1.825	0.053	0.573	0.784	-108.851	-37.912	1.776	0.516	6.785	0.765	-57.943	114.630	1.587	0.847	7.943	-0.254	-192.122	158.046	1.354	1.346	9.249	3.401	-164.958	-404.532	1.271	0.991	14.021	-2.232	114.950	158.929	1.425	0.887	16.722	1.929	361.613	160.155	1.452	0.859	16.588	0.536	771.608	330.651	0.902	0.621	15.830	2.568	-14.548	-130.373	1.112	0.671	15.993	1.778	-29.953	-54.276	1.483	0.439	16.173	1.394	131.985	36.745	1.471	0.843	8.493	0.540	-66.121	38.524	1.472	1.420	8.346	0.316	2.043	69.882	1.489	1.198	6.457	-1.103	61.336	19.506	1.664	1.018	6.961	-3.692	-57.962	146.062	1.717	0.965	7.637	-4.234	-104.905	159.711	1.525	1.467	8.068	1.247	97.680	10.557	1.518	1.630	8.429	0.454	-11.816	14.180	1.504	0.942	9.134	0.736	-41.182	65.596	
1.987	0.002	-0.535	-0.314	-28.719	-65.048	1.825	0.059	-0.187	0.400	-43.138	-38.775	1.841	0.530	6.141	1.177	-70.713	-32.256	1.657	0.853	5.919	1.507	-212.533	193.993	1.438	1.360	9.353	1.301	185.777	-15.346	1.417	0.977	14.533	-0.580	-12.426	171.559	1.610	0.915	19.180	3.591	130.039	172.381	1.656	0.881	22.241	5.436	359.015	649.259	1.060	0.640	15.475	1.181	-56.581	-147.046	1.270	0.686	15.507	1.269	-67.303	-47.660	1.651	0.455	16.717	2.158	-23.148	116.015	1.553	0.850	8.050	0.963	-22.422	46.077	1.556	1.427	8.800	0.956	88.657	58.160	1.557	1.188	7.695	-0.792	186.110	42.723	1.731	0.989	6.407	-2.018	-52.837	188.918	1.788	0.931	6.628	-2.537	-96.995	179.611	1.610	1.480	8.862	1.310	61.076	1.901	1.602	1.635	8.327	0.650	-8.647	24.930	1.593	0.952	8.732	1.280	-39.223	43.187	
1.980	-0.005	-0.673	-0.325	1.106	62.928	1.821	0.061	-0.271	0.204	26.393	-0.504	1.899	0.540	5.412	0.261	-75.221	-150.962	1.705	0.877	4.229	2.528	-125.479	10.228	1.541	1.372	11.561	2.109	255.679	176.942	1.562	0.979	13.683	1.007	-157.709	145.863	1.808	0.959	18.562	5.260	-253.532	161.273	1.897	0.968	19.404	8.476	-926.354	-41.237	1.212	0.644	14.773	-0.317	-83.638	-152.490	1.422	0.697	14.747	0.829	-84.572	-40.287	1.817	0.482	16.117	3.827	-96.955	217.838	1.632	0.862	8.048	1.476	21.902	56.570	1.648	1.439	9.260	1.424	3.345	35.354	1.643	1.182	7.699	0.146	-185.255	144.881	1.792	0.978	5.916	-0.058	-45.377	203.043	1.850	0.914	5.727	-0.738	-83.138	180.201	1.702	1.493	8.901	1.308	-53.240	-2.246	1.685	1.643	8.261	0.940	-4.518	33.128	1.678	0.967	8.383	1.572	-30.578	15.283	
